,GUID,GEOGID,GEOGDESC,0 - 9 years,10 - 19 years,20 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over
845,2AE19629185313A3E055000000000001,ED3409_11074,Castlerickard,493,309,134,439,373,159,130,62,23
846,2AE19629185F13A3E055000000000001,ED3409_11075,Cloghbrack,57,95,38,66,79,59,64,29,15
847,2AE19629186013A3E055000000000001,ED3409_11076,Clonmacduff,71,76,42,47,86,73,40,27,18
848,2AE19629189013A3E055000000000001,ED3409_11077,Gallow,143,123,91,136,145,128,117,56,22
849,2AE19629189C13A3E055000000000001,ED3409_11078,Galtrim,112,97,68,86,114,121,79,33,26
850,2AE1962918A713A3E055000000000001,ED3409_11079,Grennanstown,194,220,111,174,188,170,117,54,31
851,2AE1962918B213A3E055000000000001,ED3409_11080,Hill of Down,93,69,54,66,77,94,43,33,21
852,2AE1962918B313A3E055000000000001,ED3409_11081,Innfield,949,606,402,857,712,395,236,135,51
853,2AE19629181313A3E055000000000001,ED3409_11082,Cill BhrÌde,75,75,38,54,76,71,43,24,12
854,2AE19629183213A3E055000000000001,ED3409_11083,Kilcooly,62,65,25,29,66,52,39,12,9
855,2AE19629183313A3E055000000000001,ED3409_11084,Kildalky,254,215,80,179,260,141,77,71,22
856,2AE19629183413A3E055000000000001,ED3409_11085,Killaconnigan,467,363,238,349,373,203,125,87,29
857,2AE19629185513A3E055000000000001,ED3409_11086,Killyon,77,90,37,56,86,91,36,43,16
858,2AE19629187113A3E055000000000001,ED3409_11087,Laracor,108,89,56,109,89,78,58,30,14
859,2AE1962918B413A3E055000000000001,ED3409_11088,Rahinstown,66,74,41,61,78,69,78,17,12
860,2AE1962918C113A3E055000000000001,ED3409_11089,Rathmolyon,239,216,97,218,214,172,130,81,40
861,2AE1962918C013A3E055000000000001,ED3409_11090,An R·th MhÛr,173,170,94,119,178,121,93,55,21
862,2AE19629181E13A3E055000000000001,ED3409_11091,Summerhill,197,191,171,172,205,184,122,60,32
863,2AE19629182B13A3E055000000000001,ED3409_11092,Trim Rural,1437,1267,832,1469,1384,1084,683,394,243
864,2AE196291A4013A3E055000000000001,ED3409_12001,Birr Urban,654,565,497,717,574,491,446,271,200
865,2AE196291A8513A3E055000000000001,ED3409_12002,Tullamore Urban,1624,1471,1309,1929,1519,1396,1141,655,393
866,2AE196291AE913A3E055000000000001,ED3409_12003,Ballycumber,130,88,73,96,96,100,92,43,23
867,2AE196291AF513A3E055000000000001,ED3409_12004,Banagher,258,296,231,298,293,278,194,146,112
868,2AE196291A3F13A3E055000000000001,ED3409_12005,Birr Rural,151,183,143,137,159,212,130,70,42
869,2AE196291A4213A3E055000000000001,ED3409_12006,Broughal,13,17,17,9,15,15,19,10,2
870,2AE196291A5113A3E055000000000001,ED3409_12007,Cloghan,152,132,89,158,134,131,95,55,34
871,2AE196291A5D13A3E055000000000001,ED3409_12008,Clonmacnoise,50,43,32,44,47,44,48,23,10
872,2AE196291A7313A3E055000000000001,ED3409_12009,Derrinboy,41,48,35,39,39,43,31,19,10
873,2AE196291A7413A3E055000000000001,ED3409_12010,Derryad,28,38,30,32,30,48,24,12,10
874,2AE196291A7613A3E055000000000001,ED3409_12011,Doon,75,59,45,53,74,67,43,30,19
875,2AE196291A8113A3E055000000000001,ED3409_12012,Dromoyle,62,51,21,48,50,48,21,23,13
876,2AE196291A8213A3E055000000000001,ED3409_12013,Drumcullen,73,49,30,63,67,53,23,23,16
877,2AE196291A9113A3E055000000000001,ED3409_12014,Eglish,15,14,14,21,15,26,19,12,11
878,2AE196291A9B13A3E055000000000001,ED3409_12015,Ferbane,166,157,109,158,167,157,150,107,52
879,2AE196291AA413A3E055000000000001,ED3409_12016,Gallen,46,70,64,65,58,76,70,48,46
880,2AE196291AB013A3E055000000000001,ED3409_12017,Hinds,35,27,34,49,31,59,41,19,12
881,2AE196291AB113A3E055000000000001,ED3409_12018,Huntston,57,47,22,50,50,50,48,30,3
882,2AE196291ABA13A3E055000000000001,ED3409_12019,Kilcolman,50,59,34,39,55,60,46,14,20
883,2AE196291ABB13A3E055000000000001,ED3409_12020,Kilcormac,204,180,168,171,186,193,130,99,54
884,2AE196291AD213A3E055000000000001,ED3409_12021,Killyon,31,32,30,36,37,28,38,19,7
885,2AE196291AD313A3E055000000000001,ED3409_12022,Kinnitty,82,64,65,73,72,70,66,40,12
886,2AE196291AD413A3E055000000000001,ED3409_12023,Knockbarron,41,24,19,29,33,23,17,8,5
887,2AE196291ADF13A3E055000000000001,ED3409_12024,Lea,44,50,42,35,42,48,49,26,6
888,2AE196291AE013A3E055000000000001,ED3409_12025,Letter,19,29,17,19,21,17,22,7,7
889,2AE196291AE113A3E055000000000001,ED3409_12026,Lumcloon,32,49,38,37,49,60,49,24,11
890,2AE196291AEC13A3E055000000000001,ED3409_12027,Lusmagh,69,79,51,73,75,78,67,28,18
891,2AE196291AF813A3E055000000000001,ED3409_12028,Mounterin,36,31,27,21,47,39,24,20,4
892,2AE196291AFA13A3E055000000000001,ED3409_12029,Moyclare,98,78,53,86,92,77,72,54,25
893,2AE196291A6013A3E055000000000001,ED3409_12030,Seirkieran,54,73,62,51,69,70,52,26,9
894,2AE196291A6113A3E055000000000001,ED3409_12031,Shannonbridge,29,18,23,22,39,46,36,39,15
895,2AE196291A6213A3E055000000000001,ED3409_12032,Shannonharbour,32,48,33,25,45,68,41,23,9
896,2AE196291A6D13A3E055000000000001,ED3409_12033,Srah,90,97,73,92,97,96,84,49,26
897,2AE196291ADD13A3E055000000000001,ED3409_12035,Ballyburly,214,233,134,174,226,158,114,74,37
898,2AE196291AEA13A3E055000000000001,ED3409_12036,Ballymacwilliam,83,112,55,74,116,81,51,48,16
899,2AE196291A4113A3E055000000000001,ED3409_12037,Bracknagh,164,171,73,134,196,107,108,70,27
900,2AE196291A5C13A3E055000000000001,ED3409_12038,Clonbulloge,131,122,63,103,130,85,78,33,27
901,2AE196291A5E13A3E055000000000001,ED3409_12039,Clonmore,68,56,36,65,70,49,44,37,8
902,2AE196291A6813A3E055000000000001,ED3409_12040,Croghan,72,91,57,62,97,63,53,38,14
903,2AE196291A8F13A3E055000000000001,ED3409_12041,Edenderry Rural,111,144,72,93,125,113,71,64,23
904,2AE196291A9013A3E055000000000001,ED3409_12042,Edenderry Urban,1285,1001,832,1276,1060,663,503,250,131
905,3576C59993334152E0530100007F0280,ED3409_12043/12034,Esker / Ballaghassaan,70,64,45,76,61,55,58,26,19
906,2AE196291ADE13A3E055000000000001,ED3409_12044,Knockdrin,43,39,17,24,28,24,15,10,4
907,2AE196291AED13A3E055000000000001,ED3409_12045,Monasteroris,81,145,81,83,151,91,114,45,15
908,2AE196291ADA13A3E055000000000001,ED3409_12046,Aghancon,37,48,41,31,54,56,62,34,15
909,2AE196291ADC13A3E055000000000001,ED3409_12047,Ballincor,11,30,14,13,30,23,15,10,10
910,2AE196291AF613A3E055000000000001,ED3409_12048,Barna,25,23,16,19,18,30,19,9,6
911,2AE196291A4E13A3E055000000000001,ED3409_12049,Cangort,30,33,16,29,29,24,18,13,10
912,2AE196291A6913A3E055000000000001,ED3409_12050,Cullenwaine,106,88,56,115,92,78,80,47,18
913,2AE196291A8313A3E055000000000001,ED3409_12051,Dunkerrin,37,54,31,51,42,37,63,27,15
914,2AE196291A9A13A3E055000000000001,ED3409_12052,Ettagh,79,78,52,64,57,90,60,26,17
915,2AE196291AA613A3E055000000000001,ED3409_12053,Gorteen,36,41,15,30,38,45,38,21,18
916,2AE196291AF913A3E055000000000001,ED3409_12054,Mountheaton,80,238,50,68,74,67,56,43,17
917,2AE196291A5313A3E055000000000001,ED3409_12055,Roscomroe,22,35,7,16,29,14,11,15,4
918,2AE196291A6B13A3E055000000000001,ED3409_12056,Shinrone,133,132,88,134,125,104,104,94,51
919,2AE196291A7713A3E055000000000001,ED3409_12057,Templeharry,40,29,20,27,32,29,25,21,6
920,2AE196291A7A13A3E055000000000001,ED3409_12058,Tulla,12,21,12,8,17,13,14,9,3
921,2AE196291AE813A3E055000000000001,ED3409_12059,Ballycommon,112,89,52,70,101,86,42,32,15
922,2AE196291AEB13A3E055000000000001,ED3409_12060,Ballyshear,67,59,40,50,78,47,27,17,11
923,2AE196291AF713A3E055000000000001,ED3409_12061,Bawn,55,76,36,40,54,37,34,28,9
924,2AE196291A4F13A3E055000000000001,ED3409_12062,Cappancur,238,244,120,191,261,198,134,103,42
925,2AE196291A5013A3E055000000000001,ED3409_12063,Clara,598,588,471,543,509,478,366,258,145
926,2AE196291A5F13A3E055000000000001,ED3409_12064,Clonygowan,96,95,45,87,87,61,57,29,10
927,2AE196291A6A13A3E055000000000001,ED3409_12065,Daingean,236,233,167,223,207,190,132,59,39
928,2AE196291A7513A3E055000000000001,ED3409_12066,Derrycooley,37,39,29,27,37,40,30,11,11
929,2AE196291A8E13A3E055000000000001,ED3409_12067,Durrow,110,127,64,91,113,114,82,39,19
930,2AE196291AA513A3E055000000000001,ED3409_12068,Geashill,267,263,145,213,244,239,132,71,33
